PLAYER_NAME,OPPONENT_MIN,OPPONENT_FGM,OPPONENT_FGA,OPPONENT_FG3M,OPPONENT_FG3A,OPPONENT_FTM,OPPONENT_FTA,OPPONENT_OREB,OPPONENT_DREB,OPPONENT_REB,OPPONENT_AST,OPPONENT_STL,OPPONENT_BLK,OPPONENT_TOV,OPPONENT_PF,OPPONENT_PFD,OPPONENT_PTS,OPPONENT_PLUS_MINUS
Victor Wembanyama,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
Devin Vassell,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
Tre Jones,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
Pascal Siakam,48.0609756097561,43.109756097560975,89.65853658536585,14.597560975609756,39.53658536585366,17.036585365853657,22.463414634146343,9.71951219512195,33.21951219512195,42.9390243902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,20.329268292682926,117.85365853658537,2.207317073170732
Myles Turner,48.0609756097561,43.109756097560975,89.65853658536585,14.597560975609756,39.53658536585366,17.036585365853657,22.463414634146343,9.71951219512195,33.21951219512195,42.9390243902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,20.329268292682926,117.85365853658537,2.207317073170732
Andrew Nembhard,48.0609756097561,43.109756097560975,89.65853658536585,14.597560975609756,39.53658536585366,17.036585365853657,22.463414634146343,9.71951219512195,33.21951219512195,42.9390243902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,20.329268292682926,117.85365853658537,2.207317073170732
Tyrese Haliburton,48.0609756097561,43.109756097560975,89.65853658536585,14.597560975609756,39.53658536585366,17.036585365853657,22.463414634146343,9.71951219512195,33.21951219512195,42.9390243902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,20.329268292682926,117.85365853658537,2.207317073170732
Kevin Durant,48.0609756097561,44.02439024390244,88.76829268292683,11.682926829268293,31.21951219512195,15.121951219512194,19.853658536585368,10.74390243902439,33.68292682926829,44.426829268292686,29.451219512195124,7.134146341463414,5.560975609756097,12.634146341463415,18.158536585365855,17.890243902439025,114.85365853658537,5.2560975609756095
Jusuf Nurkić,48.0609756097561,44.02439024390244,88.76829268292683,11.682926829268293,31.21951219512195,15.121951219512194,19.853658536585368,10.74390243902439,33.68292682926829,44.426829268292686,29.451219512195124,7.134146341463414,5.560975609756097,12.634146341463415,18.158536585365855,17.890243902439025,114.85365853658537,5.2560975609756095
Grayson Allen,48.0609756097561,44.02439024390244,88.76829268292683,11.682926829268293,31.21951219512195,15.121951219512194,19.853658536585368,10.74390243902439,33.68292682926829,44.426829268292686,29.451219512195124,7.134146341463414,5.560975609756097,12.634146341463415,18.158536585365855,17.890243902439025,114.85365853658537,5.2560975609756095
